"FileName","FullPath","RootCategory","ProbableRole","SizeBytes","LastWrite"
"Newtonsoft.Json.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Newtonsoft.Json.dll","client","unknown","694720","2026-03-04 23:57"
"nvngx_dlss.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\nvngx_dlss.dll","client","unknown","11887040","2026-03-04 23:57"
"PhysXCommon_64.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\PhysXCommon_64.dll","client","unknown","1356224","2026-03-04 23:57"
"PhysXCooking_64.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\PhysXCooking_64.dll","client","unknown","216000","2026-03-04 23:57"
"PhysXDevice64.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\PhysXDevice64.dll","client","unknown","704960","2026-03-04 23:57"
"PhysXFoundation_64.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\PhysXFoundation_64.dll","client","unknown","61888","2026-03-04 23:57"
"PhysXGpu_64.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\PhysXGpu_64.dll","client","unknown","29461952","2026-03-04 23:57"
"PhysX_64.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\PhysX_64.dll","client","unknown","1795520","2026-03-04 23:57"
"StbSharp.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\StbSharp.dll","client","unknown","214976","2026-03-04 23:57"
"Steamworks.NET.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Steamworks.NET.dll","client","unknown","381376","2026-03-04 23:57"
"steam_api64.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\steam_api64.dll","client","unknown","293312","2026-03-04 23:57"
"symsrv.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\symsrv.dll","client","unknown","248256","2026-03-04 23:57"
"System.Management.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\System.Management.dll","client","unknown","65984","2026-03-04 23:57"
"System.Numerics.Vectors.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\System.Numerics.Vectors.dll","client","unknown","154560","2026-03-04 23:57"
"TaleWorlds.AchievementSystem.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.AchievementSystem.dll","client","unknown","14784","2026-03-04 23:57"
"TaleWorlds.ActivitySystem.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.ActivitySystem.dll","client","unknown","12736","2026-03-04 23:57"
"TaleWorlds.CampaignSystem.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.CampaignSystem.dll","client","campaign","5400000","2026-03-04 23:57"
"TaleWorlds.CampaignSystem.ViewModelCollection.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.CampaignSystem.ViewModelCollection.dll","client","campaign","1515456","2026-03-04 23:57"
